timestamp,aircraftid,lat,lon,altitude
1.0,SD05,-6.125,106.655,0.0
1.0,LNI204,-6.228324125562959,106.7429150950549,0.0
2.0,SD05,-6.125,106.655,0.0
2.0,LNI204,-6.228324125562959,106.7429150950549,0.0
3.0,SD05,-6.125,106.655,0.0
3.0,LNI204,-6.228324125562959,106.7429150950549,0.0
4.0,SD05,-6.125,106.655,0.0
4.0,LNI204,-6.228324125562959,106.7429150950549,0.0
5.0,SD05,-6.125,106.655,0.0
5.0,LNI204,-6.228324125562959,106.7429150950549,0.0
6.0,SD05,-6.125,106.65500949709116,0.8001
6.0,LNI204,-6.228324125562959,106.74290559611009,0.8001
7.0,SD05,-6.125,106.65503708387979,3.1242
7.0,LNI204,-6.228324125562959,106.74287800393702,3.1242
8.0,SD05,-6.125,106.65508276036589,6.9723
8.0,LNI204,-6.228324125562959,106.74283231853572,6.9723
9.0,SD05,-6.125,106.65514652654944,12.3444
9.0,LNI204,-6.228324125562959,106.74276853990615,12.3444
10.0,SD05,-6.125,106.65522838243047,19.9644
10.0,LNI204,-6.228324125562959,106.74268666804835,19.9644
11.0,SD05,-6.125022530564358,106.65532500370739,19.9644
11.0,LNI204,-6.228346656127317,106.7425900279126,19.9644
12.0,SD05,-6.125081494613002,106.6554269836425,19.9644
12.0,LNI204,-6.228413381328258,106.74249363292837,19.9644
13.0,SD05,-6.1251516643755535,106.65554338604207,19.9644
13.0,LNI204,-6.228521671372418,106.7424128242929,19.9644
14.0,SD05,-6.125231158993277,106.65567525723603,19.9644
14.0,LNI204,-6.228665059285306,106.74235948153974,19.9644
15.0,SD05,-6.125319978454862,106.65582259723818,19.9644
15.0,LNI204,-6.228835091295634,106.7423420469672,19.9644
16.0,SD05,-6.125418122747668,106.65598540606398,19.9644
16.0,LNI204,-6.22902253325805,106.74236591687352,19.9644
17.0,SD05,-6.125525591857726,106.65616368373051,19.9644
17.0,LNI204,-6.229218131315571,106.74243393715886,19.9644
18.0,SD05,-6.12564238576974,106.65635743025642,19.9644
18.0,LNI204,-6.22941307430066,106.74254689164871,19.9644
19.0,SD05,-6.1257685044670795,106.65656664566204,19.9644
19.0,LNI204,-6.229599259642356,106.74270393975624,19.9644
20.0,SD05,-6.125900466392933,106.65678555451461,19.9644
20.0,LNI204,-6.229764962577968,106.74289793681601,19.9644
21.0,SD05,-6.1260325132043985,106.65700460443783,19.9644
21.0,LNI204,-6.229897601611324,106.7431163422721,19.9644
22.0,SD05,-6.126164559927004,106.65722365446943,19.9644
22.0,LNI204,-6.230003542915059,106.74334932071005,19.9644
23.0,SD05,-6.126296606560745,106.6574427046094,19.9644
23.0,LNI204,-6.230108056562814,106.7435829713498,19.9644
24.0,SD05,-6.126428653105621,106.6576617548577,19.9644
24.0,LNI204,-6.230212570107756,106.74381662208262,19.9644
25.0,SD05,-6.1265606995616295,106.65788080521443,19.9644
25.0,LNI204,-6.230317083549883,106.7440502729085,19.9644
26.0,SD05,-6.126692745928769,106.65809985567952,19.9644
26.0,LNI204,-6.230421596889191,106.74428392382745,19.9644
27.0,SD05,-6.126824792207038,106.65831890625296,19.9644
27.0,LNI204,-6.23052611012568,106.74451757483948,19.9644
28.0,SD05,-6.126956838396433,106.65853795693481,19.9644
28.0,LNI204,-6.230630623259347,106.74475122594457,19.9644
29.0,SD05,-6.127088884496952,106.65875700772503,19.9644
29.0,LNI204,-6.23073513629019,106.74498487714273,19.9644
30.0,SD05,-6.127220930508594,106.65897605862362,19.9644
30.0,LNI204,-6.230839649218207,106.74521852843397,19.9644
31.0,SD05,-6.127352976431358,106.65919510963064,19.9644
31.0,LNI204,-6.2309441620433965,106.74545217981829,19.9644
32.0,SD05,-6.127485022265241,106.65941416074604,19.9644
32.0,LNI204,-6.231048674765756,106.74568583129569,19.9644
33.0,SD05,-6.12761706801024,106.6596332119698,19.9644
33.0,LNI204,-6.231153187385283,106.74591948286617,19.9644
34.0,SD05,-6.127749113666354,106.659852263302,19.9644
34.0,LNI204,-6.231257699901977,106.74615313452973,19.9644
35.0,SD05,-6.127881159233583,106.66007131474257,19.9644
35.0,LNI204,-6.231362212315833,106.74638678628638,19.9644
36.0,SD05,-6.128013204711923,106.66029036629155,19.9644
36.0,LNI204,-6.231466724626852,106.7466204381361,19.9644
37.0,SD05,-6.128145250101371,106.66050941794893,19.9644
37.0,LNI204,-6.2315712368350304,106.74685409007891,19.9644
38.0,SD05,-6.128277295401927,106.66072846971471,19.9644
38.0,LNI204,-6.231675748940365,106.7470877421148,19.9644
39.0,SD05,-6.128409340613586,106.66094752158892,19.9644
39.0,LNI204,-6.231780260942857,106.74732139424377,19.9644
40.0,SD05,-6.128541385736349,106.6611665735715,19.9644
40.0,LNI204,-6.231884772842498,106.74755504646585,19.9644
41.0,SD05,-6.128673430770213,106.66138562566255,19.9644
41.0,LNI204,-6.2319892846392975,106.74778869878101,19.9644
42.0,SD05,-6.128805475715176,106.66160467786196,19.9644
42.0,LNI204,-6.232093796333245,106.74802235118926,19.9644
43.0,SD05,-6.128937520571237,106.66182373016981,19.9644
43.0,LNI204,-6.232198307924333,106.74825600369063,19.9644
44.0,SD05,-6.129069565338393,106.66204278258607,19.9644
44.0,LNI204,-6.23230281941257,106.74848965628507,19.9644
45.0,SD05,-6.129201610016643,106.66226183511075,19.9644
45.0,LNI204,-6.2324073307979475,106.74872330897263,19.9644
46.0,SD05,-6.129333654605983,106.66248088774385,19.9644
46.0,LNI204,-6.232511842080466,106.74895696175328,19.9644
47.0,SD05,-6.1294656991064125,106.66269994048538,19.9644
47.0,LNI204,-6.232616353260123,106.74919061462704,19.9644
48.0,SD05,-6.12959774351793,106.66291899333534,19.9644
48.0,LNI204,-6.232720864336915,106.7494242675939,19.9644
49.0,SD05,-6.129729787840533,106.66313804629372,19.9644
49.0,LNI204,-6.232825375310842,106.74965792065386,19.9644
50.0,SD05,-6.129861832074218,106.66335709936054,19.9644
50.0,LNI204,-6.2329298861819,106.74989157380693,19.9644
51.0,SD05,-6.129993876218984,106.6635761525358,19.9644
51.0,LNI204,-6.233034396950087,106.75012522705313,19.9644
52.0,SD05,-6.130125920274831,106.66379520581948,19.9644
52.0,LNI204,-6.233138907615401,106.75035888039243,19.9644
53.0,SD05,-6.130257964241754,106.66401425921163,19.9644
53.0,LNI204,-6.233243418177839,106.75059253382483,19.9644
54.0,SD05,-6.130390008119754,106.66423331271218,19.9644
54.0,LNI204,-6.2333479286374,106.75082618735036,19.9644
55.0,SD05,-6.130522051908827,106.66445236632121,19.9644
55.0,LNI204,-6.233452438994082,106.75105984096899,19.9644
56.0,SD05,-6.130654095608971,106.66467142003867,19.9644
56.0,LNI204,-6.23355694924788,106.75129349468075,19.9644
57.0,SD05,-6.130786139220184,106.6648904738646,19.9644
57.0,LNI204,-6.233661459398796,106.75152714848564,19.9644
58.0,SD05,-6.130918182742467,106.66510952779896,19.9644
58.0,LNI204,-6.233765969446825,106.75176080238363,19.9644
59.0,SD05,-6.131050226175812,106.66532858184178,19.9644
