lat,lon,alt,grc,arc
-6.336084020475066,106.87800271647299,140.0,7,2
-6.336084020475066,106.879002716473,140.0,7,2
-6.336084020475066,106.880002716473,140.0,7,2
-6.336084020475066,106.881002716473,140.0,7,2
-6.336084020475066,106.88200271647301,140.0,7,2
-6.336084020475066,106.88300271647302,140.0,7,2
-6.336084020475066,106.88400271647302,140.0,7,2
-6.336084020475066,106.88500271647302,140.0,7,2
-6.336084020475066,106.88600271647303,140.0,6,2
-6.336084020475066,106.88700271647303,140.0,7,2
-6.336084020475066,106.88800271647304,140.0,7,2
-6.336084020475066,106.88900271647304,140.0,7,2
-6.336084020475066,106.89000271647305,140.0,7,2
-6.336084020475066,106.89100271647305,140.0,7,2
-6.336084020475066,106.89200271647306,140.0,7,2
-6.336084020475066,106.89300271647306,140.0,7,2
-6.336084020475066,106.89400271647307,140.0,7,2
-6.336084020475066,106.89500271647307,140.0,7,2
-6.336084020475066,106.89600271647308,140.0,7,2
-6.336084020475066,106.89700271647308,140.0,7,2
-6.336084020475066,106.89800271647309,140.0,7,2
-6.336084020475066,106.89900271647309,140.0,7,2
-6.336084020475066,106.9000027164731,140.0,7,2
-6.336084020475066,106.9010027164731,140.0,7,2
-6.336084020475066,106.9020027164731,140.0,7,2
-6.336084020475066,106.90300271647311,140.0,7,2
-6.336084020475066,106.90400271647312,140.0,7,2
-6.336084020475066,106.90500271647312,140.0,7,2
-6.336084020475066,106.90600271647313,140.0,7,2
-6.336084020475066,106.90700271647313,140.0,7,2
-6.336084020475066,106.90800271647313,140.0,7,2
-6.336084020475066,106.90900271647314,140.0,7,2
-6.336084020475066,106.91000271647314,140.0,7,2
-6.336084020475066,106.91100271647315,140.0,6,2
-6.336084020475066,106.91200271647315,140.0,5,1
-6.336084020475066,106.91300271647316,140.0,6,2
-6.336084020475066,106.91400271647316,140.0,5,1
-6.336084020475066,106.91500271647317,140.0,7,2
-6.336084020475066,106.91600271647317,140.0,7,2
-6.336084020475066,106.91700271647318,140.0,7,2
-6.336084020475066,106.91800271647318,140.0,7,2
-6.336084020475066,106.91900271647319,140.0,3,1
-6.336084020475066,106.92000271647319,140.0,6,2
-6.336084020475066,106.9210027164732,140.0,7,2
-6.336084020475066,106.9220027164732,140.0,7,2
-6.336084020475066,106.9230027164732,140.0,7,2
-6.336084020475066,106.92400271647321,140.0,7,2
-6.336084020475066,106.92500271647322,140.0,7,2
-6.336084020475066,106.92600271647322,140.0,7,2
-6.336084020475066,106.92700271647323,140.0,7,2
-6.336084020475066,106.92800271647323,140.0,7,2
-6.336084020475066,106.92900271647324,140.0,7,2
-6.336084020475066,106.93000271647324,140.0,7,2
-6.336084020475066,106.93100271647324,140.0,7,2
-6.336084020475066,106.93200271647325,140.0,7,2
-6.336084020475066,106.93300271647325,140.0,7,2
-6.335084020475065,106.82200271647272,140.0,7,2
-6.335084020475065,106.82300271647273,140.0,7,2
-6.335084020475065,106.82400271647273,140.0,7,2
-6.335084020475065,106.82500271647274,140.0,7,2
-6.335084020475065,106.82600271647274,140.0,7,2
-6.335084020475065,106.82700271647275,140.0,7,2
-6.335084020475065,106.82800271647275,140.0,7,2
-6.335084020475065,106.82900271647276,140.0,7,2
-6.335084020475065,106.83000271647276,140.0,7,2
-6.335084020475065,106.83100271647277,140.0,7,2
-6.335084020475065,106.83200271647277,140.0,7,2
-6.335084020475065,106.83300271647278,140.0,7,2
-6.335084020475065,106.83400271647278,140.0,7,2
-6.335084020475065,106.83500271647279,140.0,7,2
-6.335084020475065,106.83600271647279,140.0,7,2
-6.335084020475065,106.8370027164728,140.0,7,2
-6.335084020475065,106.8380027164728,140.0,7,2
-6.335084020475065,106.8390027164728,140.0,6,2
-6.335084020475065,106.84000271647281,140.0,7,2
-6.335084020475065,106.84100271647281,140.0,7,2
-6.335084020475065,106.84200271647282,140.0,7,2
-6.335084020475065,106.84300271647282,140.0,6,2
-6.335084020475065,106.84400271647283,140.0,6,2
-6.335084020475065,106.84500271647283,140.0,6,2
-6.335084020475065,106.84600271647284,140.0,5,1
-6.335084020475065,106.84700271647284,140.0,3,1
-6.335084020475065,106.84800271647285,140.0,7,2
-6.335084020475065,106.84900271647285,140.0,7,2
-6.335084020475065,106.85000271647286,140.0,7,2
-6.335084020475065,106.85100271647286,140.0,7,2
-6.335084020475065,106.85200271647287,140.0,7,2
-6.335084020475065,106.85300271647287,140.0,7,2
-6.335084020475065,106.85400271647288,140.0,7,2
-6.335084020475065,106.85500271647288,140.0,7,2
-6.335084020475065,106.85600271647289,140.0,7,2
-6.335084020475065,106.85700271647289,140.0,7,2
-6.335084020475065,106.8580027164729,140.0,7,2
-6.335084020475065,106.8590027164729,140.0,7,2
-6.335084020475065,106.8600027164729,140.0,7,2
-6.335084020475065,106.86100271647291,140.0,7,2
-6.335084020475065,106.86200271647292,140.0,7,2
-6.335084020475065,106.86300271647292,140.0,7,2
-6.335084020475065,106.86400271647292,140.0,7,2
-6.335084020475065,106.86500271647293,140.0,7,2
-6.335084020475065,106.86600271647293,140.0,7,2
-6.335084020475065,106.86700271647294,140.0,7,2
-6.335084020475065,106.86800271647294,140.0,7,2
-6.335084020475065,106.86900271647295,140.0,7,2
-6.335084020475065,106.87000271647295,140.0,7,2
-6.335084020475065,106.87100271647296,140.0,7,2
-6.335084020475065,106.87200271647296,140.0,7,2
-6.335084020475065,106.87300271647297,140.0,7,2
-6.335084020475065,106.87400271647297,140.0,7,2
-6.335084020475065,106.87500271647298,140.0,7,2
-6.335084020475065,106.87600271647298,140.0,7,2
-6.335084020475065,106.87700271647299,140.0,7,2
-6.335084020475065,106.87800271647299,140.0,7,2
-6.335084020475065,106.879002716473,140.0,7,2
-6.335084020475065,106.880002716473,140.0,7,2
-6.335084020475065,106.881002716473,140.0,7,2
-6.335084020475065,106.88200271647301,140.0,7,2
-6.335084020475065,106.88300271647302,140.0,7,2
-6.335084020475065,106.88400271647302,140.0,7,2
-6.335084020475065,106.88500271647302,140.0,7,2
-6.335084020475065,106.88600271647303,140.0,7,2
-6.335084020475065,106.88700271647303,140.0,7,2
-6.335084020475065,106.88800271647304,140.0,7,2
-6.335084020475065,106.88900271647304,140.0,7,2
