timestamp,ref_id,rho,level,R_m,n_neighbors
1.0,SD05,0.012732395447351627,1,5000.0,1
1.0,LNI204,0.012732395447351627,1,5000.0,1
2.0,SD05,0.012732395447351627,1,5000.0,1
2.0,LNI204,0.012732395447351627,1,5000.0,1
3.0,SD05,0.012732395447351627,1,5000.0,1
3.0,LNI204,0.012732395447351627,1,5000.0,1
4.0,SD05,0.012732395447351627,1,5000.0,1
4.0,LNI204,0.012732395447351627,1,5000.0,1
5.0,SD05,0.012732395447351627,1,5000.0,1
5.0,LNI204,0.012732395447351627,1,5000.0,1
6.0,SD05,0.012732395447351627,1,5000.0,1
6.0,LNI204,0.012732395447351627,1,5000.0,1
7.0,SD05,0.012732395447351627,1,5000.0,1
7.0,LNI204,0.012732395447351627,1,5000.0,1
8.0,SD05,0.012732395447351627,1,5000.0,1
8.0,LNI204,0.012732395447351627,1,5000.0,1
9.0,SD05,0.012732395447351627,1,5000.0,1
9.0,LNI204,0.012732395447351627,1,5000.0,1
10.0,SD05,0.012732395447351627,1,5000.0,1
10.0,LNI204,0.012732395447351627,1,5000.0,1
11.0,SD05,0.012732395447351627,1,5000.0,1
11.0,LNI204,0.012732395447351627,1,5000.0,1
12.0,SD05,0.012732395447351627,1,5000.0,1
12.0,LNI204,0.012732395447351627,1,5000.0,1
13.0,SD05,0.012732395447351627,1,5000.0,1
13.0,LNI204,0.012732395447351627,1,5000.0,1
14.0,SD05,0.012732395447351627,1,5000.0,1
14.0,LNI204,0.012732395447351627,1,5000.0,1
15.0,SD05,0.012732395447351627,1,5000.0,1
15.0,LNI204,0.012732395447351627,1,5000.0,1
16.0,SD05,0.012732395447351627,1,5000.0,1
16.0,LNI204,0.012732395447351627,1,5000.0,1
17.0,SD05,0.012732395447351627,1,5000.0,1
17.0,LNI204,0.012732395447351627,1,5000.0,1
18.0,SD05,0.012732395447351627,1,5000.0,1
18.0,LNI204,0.012732395447351627,1,5000.0,1
19.0,SD05,0.012732395447351627,1,5000.0,1
19.0,LNI204,0.012732395447351627,1,5000.0,1
20.0,SD05,0.012732395447351627,1,5000.0,1
20.0,LNI204,0.012732395447351627,1,5000.0,1
21.0,SD05,0.012732395447351627,1,5000.0,1
21.0,LNI204,0.012732395447351627,1,5000.0,1
22.0,SD05,0.012732395447351627,1,5000.0,1
22.0,LNI204,0.012732395447351627,1,5000.0,1
23.0,SD05,0.012732395447351627,1,5000.0,1
23.0,LNI204,0.012732395447351627,1,5000.0,1
24.0,SD05,0.012732395447351627,1,5000.0,1
24.0,LNI204,0.012732395447351627,1,5000.0,1
25.0,SD05,0.012732395447351627,1,5000.0,1
25.0,LNI204,0.012732395447351627,1,5000.0,1
26.0,SD05,0.012732395447351627,1,5000.0,1
26.0,LNI204,0.012732395447351627,1,5000.0,1
27.0,SD05,0.012732395447351627,1,5000.0,1
27.0,LNI204,0.012732395447351627,1,5000.0,1
28.0,SD05,0.012732395447351627,1,5000.0,1
28.0,LNI204,0.012732395447351627,1,5000.0,1
29.0,SD05,0.012732395447351627,1,5000.0,1
29.0,LNI204,0.012732395447351627,1,5000.0,1
30.0,SD05,0.012732395447351627,1,5000.0,1
30.0,LNI204,0.012732395447351627,1,5000.0,1
31.0,SD05,0.012732395447351627,1,5000.0,1
31.0,LNI204,0.012732395447351627,1,5000.0,1
32.0,SD05,0.012732395447351627,1,5000.0,1
32.0,LNI204,0.012732395447351627,1,5000.0,1
33.0,SD05,0.012732395447351627,1,5000.0,1
33.0,LNI204,0.012732395447351627,1,5000.0,1
34.0,SD05,0.012732395447351627,1,5000.0,1
34.0,LNI204,0.012732395447351627,1,5000.0,1
35.0,SD05,0.012732395447351627,1,5000.0,1
35.0,LNI204,0.012732395447351627,1,5000.0,1
36.0,SD05,0.012732395447351627,1,5000.0,1
36.0,LNI204,0.012732395447351627,1,5000.0,1
37.0,SD05,0.012732395447351627,1,5000.0,1
37.0,LNI204,0.012732395447351627,1,5000.0,1
38.0,SD05,0.012732395447351627,1,5000.0,1
38.0,LNI204,0.012732395447351627,1,5000.0,1
39.0,SD05,0.012732395447351627,1,5000.0,1
39.0,LNI204,0.012732395447351627,1,5000.0,1
40.0,SD05,0.012732395447351627,1,5000.0,1
40.0,LNI204,0.012732395447351627,1,5000.0,1
41.0,SD05,0.012732395447351627,1,5000.0,1
41.0,LNI204,0.012732395447351627,1,5000.0,1
42.0,SD05,0.012732395447351627,1,5000.0,1
42.0,LNI204,0.012732395447351627,1,5000.0,1
43.0,SD05,0.012732395447351627,1,5000.0,1
43.0,LNI204,0.012732395447351627,1,5000.0,1
44.0,SD05,0.012732395447351627,1,5000.0,1
44.0,LNI204,0.012732395447351627,1,5000.0,1
45.0,SD05,0.012732395447351627,1,5000.0,1
45.0,LNI204,0.012732395447351627,1,5000.0,1
46.0,SD05,0.012732395447351627,1,5000.0,1
46.0,LNI204,0.012732395447351627,1,5000.0,1
47.0,SD05,0.012732395447351627,1,5000.0,1
47.0,LNI204,0.012732395447351627,1,5000.0,1
48.0,SD05,0.012732395447351627,1,5000.0,1
48.0,LNI204,0.012732395447351627,1,5000.0,1
49.0,SD05,0.012732395447351627,1,5000.0,1
49.0,LNI204,0.012732395447351627,1,5000.0,1
50.0,SD05,0.012732395447351627,1,5000.0,1
50.0,LNI204,0.012732395447351627,1,5000.0,1
51.0,SD05,0.012732395447351627,1,5000.0,1
51.0,LNI204,0.012732395447351627,1,5000.0,1
52.0,SD05,0.012732395447351627,1,5000.0,1
52.0,LNI204,0.012732395447351627,1,5000.0,1
53.0,SD05,0.012732395447351627,1,5000.0,1
53.0,LNI204,0.012732395447351627,1,5000.0,1
54.0,SD05,0.012732395447351627,1,5000.0,1
54.0,LNI204,0.012732395447351627,1,5000.0,1
55.0,SD05,0.012732395447351627,1,5000.0,1
55.0,LNI204,0.012732395447351627,1,5000.0,1
56.0,SD05,0.012732395447351627,1,5000.0,1
56.0,LNI204,0.012732395447351627,1,5000.0,1
57.0,SD05,0.012732395447351627,1,5000.0,1
57.0,LNI204,0.012732395447351627,1,5000.0,1
58.0,SD05,0.012732395447351627,1,5000.0,1
58.0,LNI204,0.012732395447351627,1,5000.0,1
59.0,SD05,0.012732395447351627,1,5000.0,1
59.0,LNI204,0.012732395447351627,1,5000.0,1
60.0,SD05,0.012732395447351627,1,5000.0,1
60.0,LNI204,0.012732395447351627,1,5000.0,1
61.0,SD05,0.012732395447351627,1,5000.0,1
61.0,LNI204,0.012732395447351627,1,5000.0,1
62.0,SD05,0.012732395447351627,1,5000.0,1
62.0,LNI204,0.012732395447351627,1,5000.0,1
63.0,SD05,0.012732395447351627,1,5000.0,1
63.0,LNI204,0.012732395447351627,1,5000.0,1
64.0,SD05,0.012732395447351627,1,5000.0,1
64.0,LNI204,0.012732395447351627,1,5000.0,1
65.0,SD05,0.012732395447351627,1,5000.0,1
65.0,LNI204,0.012732395447351627,1,5000.0,1
66.0,SD05,0.012732395447351627,1,5000.0,1
66.0,LNI204,0.012732395447351627,1,5000.0,1
67.0,SD05,0.012732395447351627,1,5000.0,1
67.0,LNI204,0.012732395447351627,1,5000.0,1
68.0,SD05,0.012732395447351627,1,5000.0,1
68.0,LNI204,0.012732395447351627,1,5000.0,1
69.0,SD05,0.012732395447351627,1,5000.0,1
69.0,LNI204,0.012732395447351627,1,5000.0,1
70.0,SD05,0.012732395447351627,1,5000.0,1
70.0,LNI204,0.012732395447351627,1,5000.0,1
71.0,SD05,0.012732395447351627,1,5000.0,1
71.0,LNI204,0.012732395447351627,1,5000.0,1
72.0,SD05,0.012732395447351627,1,5000.0,1
72.0,LNI204,0.012732395447351627,1,5000.0,1
73.0,SD05,0.012732395447351627,1,5000.0,1
73.0,LNI204,0.012732395447351627,1,5000.0,1
74.0,SD05,0.012732395447351627,1,5000.0,1
74.0,LNI204,0.012732395447351627,1,5000.0,1
75.0,SD05,0.012732395447351627,1,5000.0,1
75.0,LNI204,0.012732395447351627,1,5000.0,1
76.0,SD05,0.012732395447351627,1,5000.0,1
76.0,LNI204,0.012732395447351627,1,5000.0,1
77.0,SD05,0.012732395447351627,1,5000.0,1
77.0,LNI204,0.012732395447351627,1,5000.0,1
78.0,SD05,0.012732395447351627,1,5000.0,1
78.0,LNI204,0.012732395447351627,1,5000.0,1
79.0,SD05,0.012732395447351627,1,5000.0,1
79.0,LNI204,0.012732395447351627,1,5000.0,1
80.0,SD05,0.012732395447351627,1,5000.0,1
80.0,LNI204,0.012732395447351627,1,5000.0,1
81.0,SD05,0.012732395447351627,1,5000.0,1
81.0,LNI204,0.012732395447351627,1,5000.0,1
82.0,SD05,0.012732395447351627,1,5000.0,1
82.0,LNI204,0.012732395447351627,1,5000.0,1
83.0,SD05,0.012732395447351627,1,5000.0,1
83.0,LNI204,0.012732395447351627,1,5000.0,1
84.0,SD05,0.012732395447351627,1,5000.0,1
84.0,LNI204,0.012732395447351627,1,5000.0,1
85.0,SD05,0.012732395447351627,1,5000.0,1
85.0,LNI204,0.012732395447351627,1,5000.0,1
86.0,SD05,0.012732395447351627,1,5000.0,1
86.0,LNI204,0.012732395447351627,1,5000.0,1
87.0,SD05,0.012732395447351627,1,5000.0,1
87.0,LNI204,0.012732395447351627,1,5000.0,1
88.0,SD05,0.012732395447351627,1,5000.0,1
